,CPU_ri,CPU_rank,CPU_gen,cinebench,core,thread,TDP,clock,max_clock,price,performance
0,Ryzen,9,5950X,4569,16,32,105W,3.4GHz,4.9GHz,106500,0.44
1,Ryzen,9,5900X,3568,12,24,105W,3.7GHz,4.8GHz,71500,0.56
2,Ryzen,9,3950X,3897,16,32,105W,3.5GHz,4.7GHz,79000,0.5
3,Ryzen,9,3900XT,3192,12,24,105W,3.8GHz,4.7GHz,60000,0.56
4,Ryzen,9,3900X,3168,12,24,105W,3.8GHz,4.6GHz,58000,0.57
5,Ryzen,9,3900,2840,12,24,65W,3.1GHz,4.3GHz,59000,0.52
6,Ryzen,7,5800X,2580,8,16,105W,3.8GHz,4.7GHz,59000,0.48
7,Ryzen,7,3800XT,2228,8,16,105W,3.9GHz,4.7GHz,52000,0.47
8,Core,i9,10900K,2677,10,20,125W,3.7GHz,5.3GHz,62000,0.39
9,Core,i9,10900KF,2677,10,20,125W,3.7GHz,5.3GHz,59000,0.4
10,Ryzen,7,3800X,2165,8,16,105W,3.9GHz,4.5GHz,45000,0.52
11,Core,i9,10850K,2616,10,20,125W,3.6GHz,5.1GHz,56000,0.41
12,Ryzen,7,3700X,2114,8,16,65W,3.6GHz,4.4GHz,40000,0.57
13,Ryzen,5,5600X,1970,6,12,65W,3.7GHz,4.6GHz,39500,0.57
15,Core,i9,10900,2291,10,20,65W,2.8GHz,5.2GHz,52000,0.41
16,Core,i9,10900F,2291,10,20,65W,2.8GHz,5.2GHz,50000,0.43
17,Ryzen,7,PRO,2114,8,16,65W,3.6GHz,4.4GHz,44000,0.48
18,Core,i9,9900KS,2201,8,16,127W,4.0GHz,5.0GHz,66000,0.3
19,Core,i7,10700K,2299,8,16,125W,3.8GHz,5.1GHz,44000,0.45
20,Core,i7,10700KF,2299,8,16,125W,3.8GHz,5.1GHz,42000,0.47
21,Ryzen,5,3600XT,1671,6,12,95W,3.8GHz,4.5GHz,33000,0.58
22,Core,i9,9900K,2245,8,16,95W,3.6GHz,5.0GHz,50000,0.38
23,Core,i9,9900KF,2245,8,16,95W,3.6GHz,5.0GHz,48000,0.39
24,Ryzen,5,3600X,1647,6,12,95W,3.8GHz,4.4GHz,30000,0.61
25,Core,i7,10700,1840,8,16,65W,2.9GHz,4.8GHz,39000,0.46
26,Core,i7,10700F,1840,8,16,65W,2.9GHz,4.8GHz,38000,0.48
27,Ryzen,5,3600,1578,6,12,65W,3.6GHz,4.2GHz,25000,0.71
28,Ryzen,7,2700X,1817,8,16,105W,3.7GHz,4.3GHz,29000,0.61
29,Core,i9,9900,1931,8,16,65W,3.1GHz,5.0GHz,46000,0.38
